Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,city,country,lat,lng
Lohsa Morellino di Scansano 2017,Italy,Morellino di Scansano,Poliziano,3.5,227,10.9,2017,Morellino di Scansano,Italy,42.7125537,11.2280516
Merlot 2019,South Africa,Robertson,Arabella,3.7,227,5.95,2019,Robertson,South Africa,-33.802222,19.883611
Vino Nobile di Montepulciano 2016,Italy,Vino Nobile di Montepulciano,La Braccesca,3.9,2279,19.5,2016,Vino Nobile di Montepulciano,Italy,43.0716467,11.8054771
Rocche del Santo Barbera d'Alba Superiore 2016,Italy,Barbera d'Alba,Brandini,3.9,228,19.5,2016,Barbera d'Alba,Italy,44.7712158,8.0435811
Saint-Émilion Grand Cru (Grand Cru Classé) 2005,France,Saint-Émilion Grand Cru,Château Grand Corbin,3.9,228,54.95,2005,Saint-Émilion Grand Cru,France,44.847147,-0.547337
Saint-Émilion Grand Cru (Grand Cru Classé) 2011,France,Saint-Émilion Grand Cru,Château Destieux,4.3,228,68.92,2011,Saint-Émilion Grand Cru,France,44.847147,-0.547337
Minervois (Syrah - Carignan) 2017,France,Minervois,Gérard Bertrand,3.8,228,9.99,2017,Minervois,France,43.2718,2.52099
Rouge (Gaston Hochar) 2013,Lebanon,Bekaa Valley,Château Musar,3.8,228,34.02,2013,Bekaa Valley,Lebanon,33.83333,36.0
Vinha do Almo Escolha Tinto 2014,Portugal,Alentejano,Herdade do Perdigão,3.9,228,14.62,2014,Alentejano,Portugal,38.8421261,-7.5871012
Crucillón 2018,Spain,Campo de Borja,Bodegas Aragonesas,3.3,228,4.3,2018,Campo de Borja,Spain,41.7865415,-1.5058323
Pinot Noir 2018,New Zealand,Marlborough,The Ned,3.7,228,15.95,2018,Marlborough,New Zealand,-41.4744747,173.8330263
Margaux 2005,France,Margaux,Château Monbrison,4.1,228,47.95,2005,Margaux,France,45.0463335,-0.6729117
Pinot Noir 2015,New Zealand,Marlborough,Whitehaven,3.8,228,22.5,2015,Marlborough,New Zealand,-41.4744747,173.8330263
Passivento Rosso 2018,Italy,Terre Siciliane,Barone Montalto,4.0,2280,8.29,2018,Terre Siciliane,Italy,42.83333,12.83333
Pinot Noir 2017,United States,Monterey County,Wines from Hahn Estate,3.8,2287,19.85,2017,Monterey County,United States,36.2231079,-121.387742
Crianza 2014,Spain,Rioja,Berceo,3.4,229,10.8,2014,Rioja,Spain,42.3285528,-2.4674917
Cordillera Vigno Old Vines Carignan 2016,Chile,Maule Valley,Miguel Torres,3.8,229,15.13,2016,Maule Valley,Chile,-30.0,-71.0
Crianza Ribera del Duero 2016,Spain,Ribera del Duero,Condado de Oriza,3.7,229,8.75,2016,Ribera del Duero,Spain,41.6657566,-3.6863295
Piano Montevergine Taurasi 2012,Italy,Taurasi,Feudi di San Gregorio,4.0,229,45.0,2012,Taurasi,Italy,41.0083503,14.9574387
Reserva Merlot 2017,Chile,Colchagua Valley,Caliterra,3.5,229,6.54,2017,Colchagua Valley,Chile,-30.0,-71.0
Chianti Rufina 2018,Italy,Chianti Rùfina,Selvapiana,3.7,229,12.6,2018,Chianti Rùfina,Italy,42.83333,12.83333
Saint-Estèphe 2016,France,Saint-Estèphe,Château Ormes de Pez,3.8,229,39.0,2016,Saint-Estèphe,France,45.5925,0.6633333
